,Companies,Annual % returns,Annual % volatility,Cluster
0,ADANIPORTS,7.12004698251904,30.906499397861417,0
1,ASIANPAINT,10.12485033932951,20.919339154597132,0
2,BPCL,-25.03643186577684,43.57326913943593,2
3,GAIL,-5.255090331466202,33.808128039061934,2
4,ITC,6.401436738684057,22.36362835395958,0
5,IOC,-39.63857543056539,49.900680433732994,1
6,INFRATEL,-12.418651088299297,30.57124746900802,2
7,HINDALCO,4.933316414764509,33.52289502614842,0
8,MARUTI,1.0195035509752408,22.50294299095487,0
9,TCS,8.046955952490926,43.0949399356011,0
10,AJANTPHARM,-17.38913852221259,33.18342455257983,2
11,APOLLOTYRE,-6.430261138823607,31.012956169177755,2
12,BERGEPAINT,10.893463488238023,26.73962348913112,0
13,CASTROLIND,-43.455744584736706,44.601281189820554,1
14,NBCC,-51.51760133701396,50.815626117984294,1
15,MRPL,-32.295702537440796,36.55265690482999,2
16,JUBLFOOD,26.751441266829488,50.049531520744544,0
17,GODREJIND,-9.02500738644092,26.637939531295483,2
18,TATAPOWER,-9.09497443251133,30.79839352968313,2
19,VOLTAS,19.103016331443797,30.803360319039236,0
20,ASHOKA,-20.850852432088427,44.25249545818432,2
21,FORTIS,-13.729708971270046,42.10554043451233,2
22,LAXMIMACH,11.888306146102474,26.70566589975081,0
23,JETAIRWAYS,-48.10188004468463,62.42196353244001,1
24,SUZLON,-46.81516638608507,59.29539345455785,1
25,RCOM,-88.17286291308469,98.43662692353006,3
26,PVR,10.853007666913385,30.9876023001755,0
27,LUXIND,25.516083222240933,33.50688003135235,0
28,VIPIND,47.9663967842342,43.163067235350724,0
29,JKLAKSHMI,-16.88651045950256,27.93843015350671,2
